[2021-09-25 23:00:37] [嘉心糖]芝楼: hum
[2021-09-26 10:19:21] [番茄大]芝楼: test
[2021-09-26 11:08:47] 先生染: hum？
[2021-09-26 11:08:51] 先生染: 下午好
[2021-09-26 11:08:59] [番茄大]芝楼: 下午好
[2021-09-26 11:09:09] [番茄大]芝楼: 啊 是中午还是上午
[2021-09-26 11:09:29] 先生染: 都一样都一样
[2021-09-26 12:12:27] [番茄大]芝楼: 吃饭
[2021-09-27 14:25:05] [番茄大]芝楼: hi
[2021-09-27 14:34:13] [番茄大]芝楼: hummmmm
[2021-09-27 14:34:17] [番茄大]芝楼: zai
[2021-09-27 14:36:51] [番茄大]芝楼: hum
[2021-09-27 14:37:07] [番茄大]芝楼: azhe
[2021-09-27 19:29:59] 封茗猫猫: 你又来了
[2021-09-27 19:30:13] 封茗猫猫: 我说你上面跟谁hi呢
[2021-09-27 19:31:23] 封茗猫猫: 。。。
[2021-09-27 19:31:46] [番茄大]芝楼: 上面是测试弹幕
[2021-09-27 19:31:56] 封茗猫猫: 。。。
[2021-09-27 19:33:59] [惑星]冰镇创可贴ICYPATCH: 我超，芝
[2021-09-27 19:34:08] [惑星]冰镇创可贴ICYPATCH: 自习室直播是吧
[2021-09-27 19:34:26] [惑星]冰镇创可贴ICYPATCH: 好快的思必得（指弹幕姬）
[2021-09-27 19:34:56] [番茄大]芝楼: 嘿嘿
[2021-09-27 19:59:24] [番茄大]芝楼: 弹幕!
[2021-09-27 20:36:42] [持股人]破格卡恩: 晚上好
[2021-09-27 20:37:19] [番茄大]芝楼: 晚上好
[2021-09-27 21:06:23] [番茄大]芝楼: 确定了时间但是没确定是不是线下
[2021-09-27 21:32:22] [番茄大]芝楼: HI!!
[2021-09-27 21:32:39] 晓晰怿: 这首歌好熟悉
[2021-09-27 21:34:25] 封茗猫猫: 你这pycharm有点黑
[2021-09-27 21:35:13] [番茄大]芝楼: 确实
[2021-09-27 22:04:28] [番茄大]芝楼: DANMAKU!!
[2021-09-27 22:04:33] [番茄大]芝楼: DANMAKU!!
[2021-09-27 22:05:27] [番茄大]芝楼: DANMAKU!!
[2021-09-27 22:05:33] [番茄大]芝楼: DANMAKU!!
[2021-09-27 22:05:44] [番茄大]芝楼: DANMAKU!!
[2021-09-27 22:11:04] [番茄大]芝楼: DANMAKU!!
[2021-09-27 22:11:15] [番茄大]芝楼: DANMAKU!!
[2021-09-27 22:11:40] [番茄大]芝楼: DANMAKU!!
[2021-09-27 22:34:59] [番茄大]芝楼: 去装个电脑
[2021-09-27 22:35:24] 封茗猫猫: 你这直播还有延迟的?
[2021-09-27 22:35:36] [番茄大]芝楼: 当然啊
[2021-10-01 11:34:07] [番茄大]芝楼: hi
[2021-10-01 11:41:10] [番茄大]芝楼: yeah
[2021-10-01 11:43:21] [番茄大]芝楼: hi
[2021-10-01 11:43:49] [番茄大]芝楼: a
[2021-10-01 11:44:45] [番茄大]芝楼: hi
[2021-10-01 11:46:40] [番茄大]芝楼: 中文
[2021-10-01 11:46:45] [番茄大]芝楼: 好耶
[2021-10-01 11:50:06] [番茄大]芝楼: 珈乐我的珈乐
[2021-10-01 11:51:09] [番茄大]芝楼: ヾ(•ω•`)o
[2021-10-01 11:51:52] [番茄大]芝楼: 长弹幕长弹幕长弹幕长弹幕长弹幕长弹幕
[2021-10-01 11:54:33] [番茄大]芝楼: hum
[2021-10-01 11:58:25] [番茄大]芝楼: hum
[2021-10-01 11:58:40] [番茄大]芝楼: 咋
[2021-10-01 12:04:07] [番茄大]芝楼: fdsafs
[2021-10-01 12:04:14] [番茄大]芝楼: fdsafsa
[2021-10-01 12:04:23] [番茄大]芝楼: fsda
[2021-10-01 12:10:48] [番茄大]芝楼: sfdsafas
[2021-10-01 12:10:56] [番茄大]芝楼: fds
[2021-10-01 12:18:33] [番茄大]芝楼: hum
[2021-10-01 12:24:24] [番茄大]芝楼: hum
